"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","SMOKERS","TOT","PC_POP15","A","2017",10.5,
"USA","SMOKERS","TOT","PC_POP15","A","2018",10.3,
"USA","SMOKERS","TOT","PC_POP15","A","2019",10.9,
"USA","SMOKERS","TOT","PC_POP15","A","2020",9.4,
"BRA","SMOKERS","TOT","PC_POP15","A","2017",10.1,
"BRA","SMOKERS","TOT","PC_POP15","A","2018",9.3,
"BRA","SMOKERS","TOT","PC_POP15","A","2019",9.8,
"BRA","SMOKERS","TOT","PC_POP15","A","2020",9.5,
"BRA","SMOKERS","TOT","PC_POP15","A","2021",9.1,
"CHL","SMOKERS","TOT","PC_POP15","A","2020",17.6,
"CHN","SMOKERS","TOT","PC_POP15","A","2018",25.4,"D"
"CHN","SMOKERS","TOT","PC_POP15","A","2019",25.4,"D"
"CHN","SMOKERS","TOT","PC_POP15","A","2020",25.3,"D"
"EST","SMOKERS","TOT","PC_POP15","A","2018",17.2,
"EST","SMOKERS","TOT","PC_POP15","A","2020",17.9,
"IND","SMOKERS","TOT","PC_POP15","A","2018",9.1,"D"
"IND","SMOKERS","TOT","PC_POP15","A","2019",8.6,"D"
"IND","SMOKERS","TOT","PC_POP15","A","2020",8.1,"D"
"IDN","SMOKERS","TOT","PC_POP15","A","2018",32.3,"D"
"IDN","SMOKERS","TOT","PC_POP15","A","2019",32.6,"D"
"IDN","SMOKERS","TOT","PC_POP15","A","2020",32.6,"D"
"ISR","SMOKERS","TOT","PC_POP15","A","2017",16.9,
"ISR","SMOKERS","TOT","PC_POP15","A","2019",16.4,
"RUS","SMOKERS","TOT","PC_POP15","A","2017",27.5,"B"
"RUS","SMOKERS","TOT","PC_POP15","A","2018",26.7,
"RUS","SMOKERS","TOT","PC_POP15","A","2019",25.8,
"SVN","SMOKERS","TOT","PC_POP15","A","2019",17.4,
"ZAF","SMOKERS","TOT","PC_POP15","A","2018",20.3,"D"
"ZAF","SMOKERS","TOT","PC_POP15","A","2019",20.2,"D"
"ZAF","SMOKERS","TOT","PC_POP15","A","2020",20.2,"D"
"LVA","SMOKERS","TOT","PC_POP15","A","2019",22.6,
"LTU","SMOKERS","TOT","PC_POP15","A","2019",18.9,
"CRI","SMOKERS","TOT","PC_POP15","A","2017",10,"E"
"CRI","SMOKERS","TOT","PC_POP15","A","2018",9.5,"E"
"CRI","SMOKERS","TOT","PC_POP15","A","2019",8.9,"E"
"CRI","SMOKERS","TOT","PC_POP15","A","2020",8.4,"E"
"CRI","SMOKERS","TOT","PC_POP15","A","2021",7.8,"E"
"ARG","SMOKERS","TOT","PC_POP15","A","2018",24.7,"D"
"ARG","SMOKERS","TOT","PC_POP15","A","2019",24.3,"D"
"ARG","SMOKERS","TOT","PC_POP15","A","2020",24,"D"
"PER","SMOKERS","TOT","PC_POP15","A","2018",9.4,"D"
"PER","SMOKERS","TOT","PC_POP15","A","2019",8.8,"D"
"PER","SMOKERS","TOT","PC_POP15","A","2020",8.2,"D"
